"seq","order_number","product_sku","quantity","grupo_esperado","stock_inicial_sku","ts_envio_utc","ts_respuesta_utc","latencia_ms","http_ok","http_status","respuesta_status","error"
"14","ORD-E1A-014","PROD-001","1","con_stock","20","2026-08-10 17:13:46.667","2026-08-10 17:13:46.753","86,4","True","200","confirmed",
"15","ORD-E1A-015","PROD-011","2","con_stock","18","2026-08-10 17:13:48.757","2026-08-10 17:13:48.844","87,2","True","200","confirmed",
"16","ORD-E1A-016","PROD-011","2","con_stock","18","2026-08-10 17:13:50.859","2026-08-10 17:13:50.949","89,3","True","200","confirmed",
"17","ORD-E1A-017","PROD-019","1","con_stock","60","2026-08-10 17:13:52.959","2026-08-10 17:13:53.053","93,5","True","200","confirmed",
"18","ORD-E1A-018","PROD-002","27","no_stock","26","2026-08-10 17:13:55.063","2026-08-10 17:13:55.158","94,9","True","200","no_stock",
"19","ORD-E1A-019","PROD-002","2","con_stock","26","2026-08-10 17:13:57.174","2026-08-10 17:13:57.261","86,4","True","200","confirmed",
"20","ORD-E1A-020","PROD-006","3","con_stock","25","2026-08-10 17:13:59.275","2026-08-10 17:13:59.364","89,8","True","200","confirmed",
"21","ORD-E1A-021","PROD-001","23","no_stock","20","2026-08-10 17:14:01.375","2026-08-10 17:14:01.462","87,1","True","200","no_stock",
"22","ORD-E1A-022","PROD-018","2","con_stock","80","2026-08-10 17:14:03.469","2026-08-10 17:14:03.555","86,2","True","200","confirmed",
"23","ORD-E1A-023","PROD-014","6","no_stock","3","2026-08-10 17:14:05.571","2026-08-10 17:14:05.656","85,3","True","200","no_stock",
"24","ORD-E1A-024","PROD-016","3","con_stock","10","2026-08-10 17:14:07.662","2026-08-10 17:14:07.744","82,2","True","200","confirmed",
"25","ORD-E1A-025","PROD-010","3","con_stock","6","2026-08-10 17:14:09.761","2026-08-10 17:14:09.848","88","True","200","confirmed",
"26","ORD-E1A-026","PROD-004","2","con_stock","8","2026-08-10 17:14:11.861","2026-08-10 17:14:11.949","87,7","True","200","confirmed",
"27","ORD-E1A-027","PROD-014","5","no_stock","3","2026-08-10 17:14:13.964","2026-08-10 17:14:14.048","83,9","True","200","no_stock",
"28","ORD-E1A-028","PROD-015","3","con_stock","7","2026-08-10 17:14:16.060","2026-08-10 17:14:16.151","91,4","True","200","confirmed",
"29","ORD-E1A-029","PROD-020","3","con_stock","25","2026-08-10 17:14:18.165","2026-08-10 17:14:18.248","82,2","True","200","confirmed",
"30","ORD-E1A-030","PROD-018","2","con_stock","80","2026-08-10 17:14:20.261","2026-08-10 17:14:20.347","86","True","200","confirmed",
"31","ORD-E1A-031","PROD-007","33","no_stock","30","2026-08-10 17:14:22.364","2026-08-10 17:14:22.451","87,4","True","200","no_stock",
"32","ORD-E1A-032","PROD-010","9","no_stock","6","2026-08-10 17:14:24.457","2026-08-10 17:14:24.539","82,4","True","200","no_stock",
"33","ORD-E1A-033","PROD-013","7","no_stock","5","2026-08-10 17:14:26.546","2026-08-10 17:14:26.634","87,4","True","200","no_stock",
"34","ORD-E1A-034","PROD-004","1","con_stock","8","2026-08-10 17:14:28.647","2026-08-10 17:14:28.739","91,8","True","200","confirmed",
"35","ORD-E1A-035","PROD-004","2","con_stock","8","2026-08-10 17:14:30.747","2026-08-10 17:14:30.830","82,8","True","200","confirmed",
"36","ORD-E1A-036","PROD-003","17","no_stock","15","2026-08-10 17:14:32.846","2026-08-10 17:14:32.931","84,3","True","200","no_stock",
"37","ORD-E1A-037","PROD-002","1","con_stock","26","2026-08-10 17:14:34.937","2026-08-10 17:14:35.023","85,2","True","200","confirmed",
"38","ORD-E1A-038","PROD-008","43","no_stock","40","2026-08-10 17:14:37.029","2026-08-10 17:14:37.114","84,4","True","200","no_stock",
"39","ORD-E1A-039","PROD-005","5","no_stock","4","2026-08-10 17:14:39.125","2026-08-10 17:14:39.207","81,1","True","200","no_stock",
"40","ORD-E1A-040","PROD-007","3","con_stock","30","2026-08-10 17:14:41.223","2026-08-10 17:14:41.311","87,5","True","200","confirmed",
"41","ORD-E1A-041","PROD-015","1","con_stock","7","2026-08-10 17:14:43.315","2026-08-10 17:14:43.406","91","True","200","confirmed",
"42","ORD-E1A-042","PROD-017","2","con_stock","20","2026-08-10 17:14:45.415","2026-08-10 17:14:45.502","86,6","True","200","confirmed",
"43","ORD-E1A-043","PROD-009","3","con_stock","12","2026-08-10 17:14:47.507","2026-08-10 17:14:47.593","86,3","True","200","confirmed",
"44","ORD-E1A-044","PROD-013","3","con_stock","5","2026-08-10 17:14:49.607","2026-08-10 17:14:49.695","88","True","200","confirmed",
"45","ORD-E1A-045","PROD-017","22","no_stock","20","2026-08-10 17:14:51.701","2026-08-10 17:14:51.786","85","True","200","no_stock",
"46","ORD-E1A-046","PROD-006","3","con_stock","25","2026-08-10 17:14:53.788","2026-08-10 17:14:53.874","85,2","True","200","confirmed",
"47","ORD-E1A-047","PROD-016","12","no_stock","10","2026-08-10 17:14:55.876","2026-08-10 17:14:55.958","81,6","True","200","no_stock",
"48","ORD-E1A-048","PROD-016","13","no_stock","10","2026-08-10 17:14:57.969","2026-08-10 17:14:58.050","79,9","True","200","no_stock",
"49","ORD-E1A-049","PROD-002","2","con_stock","26","2026-08-10 17:15:00.052","2026-08-10 17:15:00.137","85","True","200","confirmed",
"50","ORD-E1A-050","PROD-016","2","con_stock","10","2026-08-10 17:15:02.141","2026-08-10 17:15:02.224","83,3","True","200","confirmed",
